Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P50082	593	67,027	ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; meiosis I [GO:0007127]; meiotic chromosome segregation [GO:0045132]; meiotic DNA integrity checkpoint [GO:0044778]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; proteolysis [GO:0006508]; synaptonemal complex assembly [GO:0007130]	enzyme activator activity [GO:0008047]; ubiquitin-protein transferase activator activity [GO:0097027]	anaphase-promoting complex [GO:0005680]
P15891	592	65,576	actin cortical patch assembly [GO:0000147]; barbed-end actin filament capping [GO:0051016]; protein localization [GO:0008104]	actin filament binding [GO:0051015]	actin cortical patch [GO:0030479]; cell cortex [GO:0005938]
Q2V2Q1	113	12,739	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; transcription, DNA-templated [GO:0006351]	RNA polymerase II regulatory region DNA binding [GO:0001012]	nucleus [GO:0005634]
P07246	375	40,370	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; fermentation [GO:0006113]; NADH oxidation [GO:0006116]	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]	mitochondrial matrix [GO:0005759]
P10869	527	58,110	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	amino acid binding [GO:0016597]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]	
P47771	506	55,188	beta-alanine biosynthetic process [GO:0019483]; cellular aldehyde metabolic process [GO:0006081]; pantothenate biosynthetic process [GO:0015940]; polyamine catabolic process [GO:0006598]	aldehyde dehydrogenase (NAD) activity [GO:0004029]	cytoplasm [GO:0005737]
P40047	520	56,693	acetate biosynthetic process [GO:0019413]; ethanol catabolic process [GO:0006068]	aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	mitochondrial matrix [GO:0005759]
Q03233	198	22,110	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]		cytoplasm [GO:0005737]
P53909	347	39,635	adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117]; purine-containing compound salvage [GO:0043101]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	adenine deaminase activity [GO:0000034]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38113	351	37,648	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]	
Q01976	231	26,087	ribose phosphate metabolic process [GO:0019693]	ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]
P48360	493	56,237	cellular iron ion homeostasis [GO:0006879]; ubiquinone biosynthetic process [GO:0006744]	NADPH-adrenodoxin reductase activity [GO:0015039]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]
Q07732	790	91,812	ascospore-type prospore membrane assembly [GO:0032120]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; mitochondrion inheritance [GO:0000001]; sporulation resulting in formation of a cellular spore [GO:0030435]		cytoplasm [GO:0005737]; prospore membrane [GO:0005628]; prospore membrane leading edge [GO:0070056]; spindle pole body [GO:0005816]
P53930	226	25,981	chromatin modification [GO:0016569]; chromatin remodeling [GO:0006338]; chromatin silencing at telomere [GO:0006348]; DNA repair [GO:0006281]; histone exchange [GO:0043486]; transcription, DNA-templated [GO:0006351]		chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]
Q12482	902	104,304	aspartate transport [GO:0015810]; cellular nitrogen compound biosynthetic process [GO:0044271]; L-glutamate transport [GO:0015813]; translation [GO:0006412]	antiporter activity [GO:0015297]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; structural constituent of ribosome [GO:0003735]; uniporter activity [GO:0015292]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; vacuole-mitochondrion membrane contact site [GO:1990816]
P47127	394	44,428	inner mitochondrial membrane organization [GO:0007007]		integral component of mitochondrial inner membrane [GO:0031305]
P39721	246	27,089		hydrolase activity [GO:0016787]	cytoplasm [GO:0005737]
P38305	123	14,234			cytoplasm [GO:0005737]
Q07716	390	44,383	lipid metabolic process [GO:0006629]	phosphoric diester hydrolase activity [GO:0008081]	
P40053	627	72,414			mitochondrion [GO:0005739]
P40507	360	41,631	ncRNA polyadenylation [GO:0043629]; nuclear mRNA surveillance of mRNA 3'-end processing [GO:0071031]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent snoRNA catabolic process [GO:0071036]; nuclear polyadenylation-dependent snRNA catabolic process [GO:0071037]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]	nucleic acid binding [GO:0003676]; polynucleotide adenylyltransferase activity [GO:0004652]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; TRAMP complex [GO:0031499]
Q12476	344	39,344	ncRNA polyadenylation [GO:0043629]; nuclear mRNA surveillance of mRNA 3'-end processing [GO:0071031]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent snoRNA catabolic process [GO:0071036]; nuclear polyadenylation-dependent snRNA catabolic process [GO:0071037]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; tRNA modification [GO:0006400]	polynucleotide adenylyltransferase activity [GO:0004652]; protein binding, bridging [GO:0030674]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	nucleolus [GO:0005730]; TRAMP complex [GO:0031499]
Q12013	749	85,236	protein palmitoylation [GO:0018345]	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; zinc ion binding [GO:0008270]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
P46367	519	56,724	acetate biosynthetic process [GO:0019413]; ethanol metabolic process [GO:0006067]; NADPH regeneration [GO:0006740]; pyruvate metabolic process [GO:0006090]	aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]
Q08548	619	72,228	glycerophospholipid biosynthetic process [GO:0046474]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; 1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]; O-acyltransferase activity [GO:0008374]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; organelle membrane [GO:0031090]
P38242	237	27,035	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]	protein anchor [GO:0043495]	integral component of endoplasmic reticulum membrane [GO:0030176]; intrinsic component of endoplasmic reticulum membrane [GO:0031227]; nuclear membrane [GO:0031965]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; UDP-N-acetylglucosamine transferase complex [GO:0043541]
Q12001	544	62,783	aerobic respiration [GO:0009060]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042281]; transferase activity, transferring hexosyl groups [GO:0016758]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P53868	555	63,777	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; protein glycosylation [GO:0006486]	dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]; dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]; glycolipid mannosyltransferase activity [GO:0004376]; mannosyltransferase activity [GO:0000030]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P32459	195	21,727	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]	ureidoglycolate hydrolase activity [GO:0004848]; ureidoglycolate lyase activity [GO:0050385]	membrane [GO:0016020]
P22580	549	61,410		amidase activity [GO:0004040]; carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]	
P13711	748	84,042	fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]	acyl-CoA dehydrogenase activity [GO:0003995]; acyl-CoA oxidase activity [GO:0003997]; electron carrier activity [GO:0009055]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor [GO:0052890]	peroxisomal matrix [GO:0005782]
P00330	348	36,849	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]	alcohol dehydrogenase (NAD) activity [GO:0004022]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
P00331	348	36,732	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol metabolic process [GO:0006067]; NADH oxidation [GO:0006116]	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
P32781	87	9,464	agglutination involved in conjugation with cellular fusion [GO:0000752]	cell adhesion molecule binding [GO:0050839]	fungal-type cell wall [GO:0009277]
P38090	596	67,262	positive regulation of (R)-carnitine transmembrane transport [GO:1902274]; positive regulation of polyamine transmembrane transport [GO:1902269]	antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]	endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; integral component of plasma membrane [GO:0005887]
P47143	340	36,372	AMP salvage [GO:0044209]; purine nucleobase metabolic process [GO:0006144]	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]	
P38013	176	19,115	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; response to metal ion [GO:0010038]	thioredoxin peroxidase activity [GO:0008379]	cytoplasm [GO:0005737]
P03875	834	96,079	homing of group II introns [GO:0006315]; mRNA processing [GO:0006397]; RNA-dependent DNA biosynthetic process [GO:0006278]	cytochrome-c oxidase activity [GO:0004129]; RNA-directed DNA polymerase activity [GO:0003964]	mitochondrion [GO:0005739]
P03876	854	98,008	aerobic respiration [GO:0009060]; intron homing [GO:0006314]; mRNA processing [GO:0006397]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; RNA-directed DNA polymerase activity [GO:0003964]	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q9ZZX0	354	42,279	DNA metabolic process [GO:0006259]; Group I intron splicing [GO:0000372]; intron homing [GO:0006314]; RNA folding [GO:0034337]	deoxyribonuclease activity [GO:0004536]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; RNA binding [GO:0003723]	mitochondrion [GO:0005739]
P40451	204	22,840	cell cycle [GO:0007049]		integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]
P47140	327	37,480		phospholipid scramblase activity [GO:0017128]	membrane [GO:0016020]; mitochondrion [GO:0005739]
P36154	155	18,436			cytoplasm [GO:0005737]
Q03673	198	22,742			integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]
Q99299	758	84,846	barrier septum assembly [GO:0000917]; protein localization to bud neck [GO:0097271]		cellular bud neck [GO:0005935]
P15274	810	93,302	guanine salvage [GO:0006178]; IMP salvage [GO:0032264]; purine nucleotide metabolic process [GO:0006163]	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]	
P14904	514	57,093	peptide metabolic process [GO:0006518]; protein catabolic process in the vacuole [GO:0007039]; protein transport [GO:0015031]	metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]	extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]
P08019	549	61,463	glycogen catabolic process [GO:0005980]; sporulation resulting in formation of a cellular spore [GO:0030435]	glucan 1,4-alpha-glucosidase activity [GO:0004339]	fungal-type vacuole [GO:0000324]
P35181	156	18,152	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin binding [GO:0030276]; protein transporter activity [GO:0008565]	AP-1 adaptor complex [GO:0030121]; endosome [GO:0005768]; nucleus [GO:0005634]
Q04601	652	75,256	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; mitotic nuclear division [GO:0007067]; protein ubiquitination [GO:0016567]; regulation of mitotic metaphase/anaphase transition [GO:0030071]		anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]
Q02336	434	50,569	chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; chromatin silencing at rDNA [GO:0000183]; chromatin silencing at telomere [GO:0006348]; histone acetylation [GO:0016573]; positive regulation of histone acetylation [GO:0035066]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription, DNA-templated [GO:0006351]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; phosphatidylserine binding [GO:0001786]; transcription coactivator activity [GO:0003713]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; chromosome, telomeric region [GO:0000781]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]
P18239	318	34,426	ADP transport [GO:0015866]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; apoptotic process [GO:0006915]; ATP transport [GO:0015867]; heme transport [GO:0015886]; mitochondrial transport [GO:0006839]; translation [GO:0006412]; transmembrane transport [GO:0055085]	ATP:ADP antiporter activity [GO:0005471]; structural constituent of ribosome [GO:0003735]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
