Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P25376	AGP1_YEAST	General amino acid permease AGP1 (Asparagine/glutamine permease)	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-proline transmembrane transporter activity [GO:0015193]	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	633	69,671
Q12156	AIM7_YEAST	Protein AIM7 (Altered inheritance rate of mitochondria protein 7)	actin cortical patch [GO:0030479]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	Arp2/3 complex binding [GO:0071933]	actin filament debranching [GO:0071846]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]	149	17,13
P52893	ALAM_YEAST	Probable alanine aminotransferase, mitochondrial (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]	alanine biosynthetic process [GO:0006523]; alanine catabolic process [GO:0006524]; chronological cell aging [GO:0001300]; L-alanine catabolic process [GO:0042853]	592	66,422
P52892	ALAT_YEAST	Probable alanine aminotransferase (EC 2.6.1.2) (Glutamate pyruvate transaminase) (GPT) (Glutamic--alanine transaminase) (Glutamic--pyruvic transaminase)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]	507	56,77
P53954	ALG11_YEAST	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	alpha-1,2-mannosyltransferase activity [GO:0000026]; GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	548	63,143
P43633	ALK1_YEAST	Serine/threonine-protein kinase Haspin homolog ALK1 (EC 2.7.11.1) (DNA damage-responsive protein ALK1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	cellular response to DNA damage stimulus [GO:0006974]; intracellular signal transduction [GO:0035556]; mitotic nuclear division [GO:0007067]; protein phosphorylation [GO:0006468]	760	86,087
P36090	ANR2_YEAST	Uncharacterized protein ANR2 (AVL9-related family protein 2)	lipid particle [GO:0005811]			516	58,895
Q06497	ANT1_YEAST	Peroxisomal adenine nucleotide transporter 1	integral component of peroxisomal membrane [GO:0005779]	adenine nucleotide transmembrane transporter activity [GO:0000295]; structural constituent of ribosome [GO:0003735]	ATP transport [GO:0015867]; fatty acid beta-oxidation [GO:0006635]; peroxisome organization [GO:0007031]; proton transport [GO:0015992]; translation [GO:0006412]	328	36,367
P36000	AP1B1_YEAST	AP-1 complex subunit beta-1 (Beta-1-adaptin) (Clathrin assembly protein complex 1 beta-1 large chain) (Clathrin assembly protein large beta-1 chain)	AP-1 adaptor complex [GO:0030121]; clathrin-coated pit [GO:0005905]; plasma membrane [GO:0005886]	clathrin binding [GO:0030276]; protein transporter activity [GO:0008565]	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	726	81,869
P25371	ADP1_YEAST	Probable ATP-dependent permease	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]	transmembrane transport [GO:0055085]	1049	117,231
P38872	ADY1_YEAST	Prospore formation at selected spindle poles protein 1 (Accumulates dyads protein 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole body [GO:0005816]		ascospore wall assembly [GO:0030476]	237	27,884
P39925	AFG3_YEAST	Mitochondrial respiratory chain complexes assembly protein AFG3 (EC 3.4.24.-) (ATPase family gene 3 protein) (Tat-binding homolog 10)	m-AAA complex [GO:0005745]; mitochondrial inner boundary membrane [GO:0097002]; mitochondrial inner membrane [GO:0005743]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	cristae formation [GO:0042407]; cytoplasmic translation [GO:0002181]; mitochondrial fusion [GO:0008053]; mitochondrial protein processing [GO:0034982]; protein complex assembly [GO:0006461]; protein import into mitochondrial intermembrane space [GO:0045041]; proteolysis [GO:0006508]; replicative cell aging [GO:0001302]; signal peptide processing [GO:0006465]	761	84,544
P22149	AFT1_YEAST	Iron-regulated transcriptional activator AFT1 (Activator of iron transcription protein 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	core promoter proximal region sequence-specific DNA binding [GO:0000987]; metal ion binding [GO:0046872]; transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0000982]	cardiolipin metabolic process [GO:0032048]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic chromosome segregation [GO:0045132]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of iron ion transport [GO:0034758]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0036086]; transcription, DNA-templated [GO:0006351]	690	77,683
P43548	AGP3_YEAST	General amino acid permease AGP3	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	558	61,052
P29589	AHT1_YEAST	Putative hexose transport activator protein				182	19,776
P32858	AIM26_YEAST	Altered inheritance of mitochondria protein 26, mitochondrial	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]		macroautophagy [GO:0016236]; mitophagy [GO:0000422]	118	12,936
Q04689	AIM32_YEAST	Altered inheritance of mitochondria protein 32				311	35,977
Q08223	AIM39_YEAST	Altered inheritance of mitochondria protein 39, mitochondrial	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]			395	45,851
Q12032	AIM41_YEAST	Altered inheritance of mitochondria protein 41, mitochondrial	mitochondrion [GO:0005739]	carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]		185	21,229
P53730	ALG12_YEAST	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Extracellular mutant protein 39) (Mannosyltransferase ALG12)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	alpha-1,6-mannosyltransferase activity [GO:0000009]; dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity [GO:0052917]	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]	551	62,672
P53178	ALG13_YEAST	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation protein 13)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; UDP-N-acetylglucosamine transferase complex [GO:0043541]	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity [GO:0004577]	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]	202	22,661
P38179	ALG3_YEAST	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	alpha-1,3-mannosyltransferase activity [GO:0000033]; dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0052925]	oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	458	52,861
P25335	ALLC_YEAST	Allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase)		allantoicase activity [GO:0004037]	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]	343	38,714
P54783	ALO_YEAST	D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (L-galactono-gamma-lactone oxidase)	integral component of mitochondrial outer membrane [GO:0031307]; mitochondrion [GO:0005739]	D-arabinono-1,4-lactone oxidase activity [GO:0003885]; flavin adenine dinucleotide binding [GO:0050660]	cellular response to oxidative stress [GO:0034599]; dehydro-D-arabinono-1,4-lactone biosynthetic process [GO:0070485]	526	59,494
P50082	AMA1_YEAST	Meiosis-specific APC/C activator protein AMA1 (Activator of meiotic APC/C protein 1) (Sporulation-specific protein 70)	anaphase-promoting complex [GO:0005680]	enzyme activator activity [GO:0008047]; ubiquitin-protein transferase activator activity [GO:0097027]	ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; meiosis I [GO:0007127]; meiotic chromosome segregation [GO:0045132]; meiotic DNA integrity checkpoint [GO:0044778]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; proteolysis [GO:0006508]; synaptonemal complex assembly [GO:0007130]	593	67,027
P15891	ABP1_YEAST	Actin-binding protein	actin cortical patch [GO:0030479]; cell cortex [GO:0005938]	actin filament binding [GO:0051015]	actin cortical patch assembly [GO:0000147]; barbed-end actin filament capping [GO:0051016]; protein localization [GO:0008104]	592	65,576
Q2V2Q1	ADF1_YEAST	Antisense of depressing factor protein 1	nucleus [GO:0005634]	RNA polymerase II regulatory region DNA binding [GO:0001012]	negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; transcription, DNA-templated [GO:0006351]	113	12,739
P07246	ADH3_YEAST	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)	mitochondrial matrix [GO:0005759]	alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; fermentation [GO:0006113]; NADH oxidation [GO:0006116]	375	40,37
P10869	AK_YEAST	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)		amino acid binding [GO:0016597]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	527	58,11
P47771	ALDH2_YEAST	Aldehyde dehydrogenase [NAD(P)+] 1 (EC 1.2.1.3)	cytoplasm [GO:0005737]	aldehyde dehydrogenase (NAD) activity [GO:0004029]	beta-alanine biosynthetic process [GO:0019483]; cellular aldehyde metabolic process [GO:0006081]; pantothenate biosynthetic process [GO:0015940]; polyamine catabolic process [GO:0006598]	506	55,188
P40047	ALDH5_YEAST	Aldehyde dehydrogenase 5, mitochondrial (EC 1.2.1.5)	mitochondrial matrix [GO:0005759]	aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	acetate biosynthetic process [GO:0019413]; ethanol catabolic process [GO:0006068]	520	56,693
Q03233	ADD37_YEAST	Alpha1-proteinase inhibitor-degradation deficient protein 37	cytoplasm [GO:0005737]		ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]	198	22,11
P53909	ADE_YEAST	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	adenine deaminase activity [GO:0000034]; zinc ion binding [GO:0008270]	adenine catabolic process [GO:0006146]; hypoxanthine salvage [GO:0043103]; nucleotide metabolic process [GO:0009117]; purine-containing compound salvage [GO:0043101]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]	347	39,635
P38113	ADH5_YEAST	Alcohol dehydrogenase 5 (EC 1.1.1.1) (Alcohol dehydrogenase V)		alcohol dehydrogenase (NAD) activity [GO:0004022]; zinc ion binding [GO:0008270]	amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol biosynthetic process involved in glucose fermentation to ethanol [GO:0043458]; NADH oxidation [GO:0006116]	351	37,648
Q01976	ADPP_YEAST	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	mitochondrion [GO:0005739]	ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]	ribose phosphate metabolic process [GO:0019693]	231	26,087
P48360	ADRO_YEAST	Probable NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]	NADPH-adrenodoxin reductase activity [GO:0015039]	cellular iron ion homeostasis [GO:0006879]; ubiquinone biosynthetic process [GO:0006744]	493	56,237
Q07732	ADY3_YEAST	Accumulates dyads protein 3	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]; prospore membrane leading edge [GO:0070056]; spindle pole body [GO:0005816]		ascospore-type prospore membrane assembly [GO:0032120]; ascospore wall assembly [GO:0030476]; cell division [GO:0051301]; mitochondrion inheritance [GO:0000001]; sporulation resulting in formation of a cellular spore [GO:0030435]	790	91,812
P53930	AF9_YEAST	Protein AF-9 homolog	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]		chromatin modification [GO:0016569]; chromatin remodeling [GO:0006338]; chromatin silencing at telomere [GO:0006348]; DNA repair [GO:0006281]; histone exchange [GO:0043486]; transcription, DNA-templated [GO:0006351]	226	25,981
Q12482	AGC1_YEAST	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; vacuole-mitochondrion membrane contact site [GO:1990816]	antiporter activity [GO:0015297]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; structural constituent of ribosome [GO:0003735]; uniporter activity [GO:0015292]	aspartate transport [GO:0015810]; cellular nitrogen compound biosynthetic process [GO:0044271]; L-glutamate transport [GO:0015813]; translation [GO:0006412]	902	104,304
P47127	AIM24_YEAST	Altered inheritance of mitochondria protein 24, mitochondrial (Found in mitochondrial proteome protein 26)	integral component of mitochondrial inner membrane [GO:0031305]		inner mitochondrial membrane organization [GO:0007007]	394	44,428
P39721	AIM2_YEAST	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	cytoplasm [GO:0005737]	hydrolase activity [GO:0016787]		246	27,089
P38305	AIM4_YEAST	Altered inheritance of mitochondria protein 4 (Synthetic with old yellow enzyme protein 1)	cytoplasm [GO:0005737]			123	14,234
Q07716	AIM6_YEAST	Altered inheritance of mitochondria protein 6		phosphoric diester hydrolase activity [GO:0008081]	lipid metabolic process [GO:0006629]	390	44,383
P40053	AIM9_YEAST	Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)	mitochondrion [GO:0005739]			627	72,414
